"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_lambda1"
2.61723976003898 -2.95355517587769 -1.15500438978197 -2.65050275526808
2.68386535835053 -3.01097843768285 -1.26231248035438 -1.46523563673422
2.67258419510246 -3.12112042178622 -1.3600401728176 -1.65582190946159
2.69429677856352 -3.0573723048743 -0.990145527200401 -2.90927637537355
2.64709027859181 -2.98588430161859 -1.32857621574024 -1.79116119480973
2.63395580139694 -2.90024755433143 -1.27174790028747 -2.43992245702326
2.70898565240852 -3.08681477421346 -1.17319071804578 -1.43814460455007
2.73884968032379 -3.22794006055285 -1.17191090483585 -4.12962456664352
2.72878746824295 -3.07807838642389 -1.42643749913214 -1.29868835674623
2.7214230341241 -3.14971486834881 -1.3887090042156 -1.12061716881778
2.78895701767403 -3.28476837308146 -1.34372687686441 -1.57972228819153
2.63538400845865 -2.94091831566742 -1.43401337669887 -1.05713017785298
2.65931793049576 -3.05670326187519 -1.47021633621017 -1.1733200567605
2.66541068675394 -3.13471356219922 -1.46103581982399 -1.03334279881994
2.69572712133924 -3.03178658527024 -1.20830842670823 -1.42597993708823
2.62225574950333 -3.02023785107956 -1.38061941269523 -1.3098084249342
2.64843118649446 -2.86784545953539 -1.19563096377386 -2.38502564245784
2.71728697592184 -3.14925004959006 -1.08148273794686 -3.22293205236107
2.64384201557858 -2.9812892879727 -1.2395884247215 -1.83757053181906
2.70296274210257 -3.07007135369184 -1.828715602565 -0.154861300684111
2.75851272398201 -3.20104204395847 -1.12760451030927 -2.94737366241364
2.717654432883 -3.15106966414319 -1.38279785122002 -0.849102206088799
2.67734069724561 -3.09908243693396 -1.41677254413622 -1.58640135689578
2.72903548977401 -3.17393208873516 -1.20152885861934 -1.76804367408742
2.73636699648817 -3.30875107043458 -1.41552894663809 -0.83774504303389
2.71094408332943 -3.12566279573943 -1.09221803462452 -1.8165440866157
2.64862114085628 -2.89226057342091 -1.38604148461156 -1.42002354385802
2.65647213664696 -3.01671603147693 -1.2904622855367 -1.43455975523206
2.67021185332662 -3.01699412875959 -1.21210028324077 -2.02889434771097
2.6877654132489 -3.00931732834019 -1.29467658054603 -2.39045737635263
2.6729927581868 -3.04403692716027 -1.31619937623479 -1.15856677529113
2.61668963749772 -2.977123250438 -1.40597914964687 -1.38850328079259
2.70211028824502 -3.09565253027377 -1.57702772136506 -0.378550433579085
2.60333809059322 -2.92538702714179 -1.17910242941958 -2.04281939857402
2.66900480495899 -3.09634428486332 -1.41764184041892 -1.29192851577691
2.69980754841651 -3.07007871816809 -1.45515015536153 -1.8802340447735
2.72656363886944 -3.21340774433421 -1.2456389557602 -1.48366807772313
2.71727799725111 -3.16612016995854 -1.45332120935459 -1.31796333478569
2.69474178697009 -3.07726204465187 -1.38882890802066 -1.42239626888754
2.79493562470433 -3.33029465778998 -1.5011061056959 -1.01576740097904
2.70698529255926 -3.08587103688124 -1.1835506454749 -2.84517877778513
2.64263372815159 -2.94605947675491 -1.34906769213671 -1.15617142444032
2.69325588703635 -3.1849690528971 -1.32675090429913 -1.8986000259177
2.73460813388763 -3.06186976959524 -1.24077381368187 -1.74627889617494
2.7240879207299 -3.17041838038813 -1.31554670257381 -1.79859511215608
2.70378303963367 -3.15311019403951 -1.24631516689549 -2.40058172897997
2.71380271575542 -3.17819971565915 -1.24615418573136 -2.90296827544416
2.67415000543542 -3.09483576344994 -1.37244587902074 -1.27248102809803
2.71643605659581 -3.11775054149329 -1.18961617563529 -1.43222702582463
2.67038876619542 -3.01983464270262 -1.28800922167174 -1.86887049524779
2.69736560847987 -3.14058073305429 -1.40987314570826 -0.914171604364227
2.71979584261345 -3.16836822555717 -1.88419572070546 -0.0581441164760427
2.72435611623767 -3.08446317080142 -1.19933904332495 -2.97008262852488
2.75254826682873 -3.28653729906525 -1.68648016199028 -1.16876455232544
2.69743174911472 -2.98744420192449 -1.1342934999483 -2.19235204844645
2.69514549892893 -3.0580185134809 -1.24230942953046 -1.56651894325843
2.67579081045621 -2.98075159161223 -1.28073084865878 -2.57491752219324
2.72483765042507 -3.17082677621523 -1.38570111140853 -1.27075545840918
2.74078256553778 -3.24669303011959 -1.2695581642901 -1.62844942233761
2.69928067753933 -3.16579272498044 -1.19910387117538 -1.41771615298092
2.65582162992612 -3.0943123378619 -1.28335502180128 -1.91075698898086
2.69355579967273 -3.05805646942961 -2.00858306285281 0.549798358830573
2.72304197496509 -3.20293879992872 -1.68115468282477 -0.619861131230553
2.72161864950674 -3.14246469336184 -1.26389154680763 -2.52748586955865
2.74189168867722 -3.12480316935513 -1.39630432608335 -1.41722613808007
2.71532780108272 -3.0743252779423 -1.30607300948244 -0.845376682094945
2.77198953482623 -3.21885988466428 -1.46144928934085 -2.61729462649838
2.68540447099247 -3.01308312033482 -1.56152054426816 -0.308014396680098
2.6656039105783 -2.99724987669084 -1.30968911721495 -0.8133509775188
2.59597274762336 -2.97642740624566 -1.4478709990341 -0.76611942454848
2.66087865233705 -3.03279222849758 -1.27330499570424 -2.09857694489953
2.7613375418657 -3.2797365969678 -1.44965927767464 -1.42276656135886
2.75444976751609 -3.14288071713269 -1.6635285359693 -0.79254501456577
2.699967064768 -3.16222436584218 -1.7576381390211 -0.505727811645363
2.80729121982084 -3.44450388530141 -1.54536340036599 -0.56373831708472
2.71715782974282 -3.09447248287749 -1.54518674091946 -1.12862039740327
2.6628145833869 -3.04894890772216 -1.4968076700135 -1.30832125085728
2.70080629083984 -3.06736111287638 -1.5659718354488 -1.02975076682165
2.6694220398411 -3.05386406899079 -1.3347082660779 -1.71288920390839
2.78054331077076 -3.34221909485913 -1.05349377259494 -2.37077973623985
2.69683930946359 -2.99681371058143 -1.32422607924806 -0.929789669320972
2.72376959744334 -3.23366092922228 -1.38071603317043 -0.855669830682247
2.70800926839158 -3.04163697506359 -1.36704389661401 -1.07621884494507
2.70640499277345 -3.13678711775826 -1.51871447708889 -1.27703855331026
2.6942533139085 -3.16376113476462 -1.57686241567237 -0.721138320107229
2.66653017013405 -3.21251709936633 -1.38821620019854 -1.19121685241839
2.73786532112706 -3.2333642185668 -1.29505352900004 -1.00533312516554
2.72046498234286 -3.09179775504411 -1.23856513177366 -2.48759698314848
2.67859033478074 -3.13487665680798 -1.47648666162871 -3.22593028596356
2.68308834125928 -3.2068081223754 -1.42743486265692 -1.78733869659189
2.80352218893601 -3.2470856555665 -1.54104030403082 -1.84186516295697
2.69447492584142 -3.03487073507153 -1.12116572523536 -2.10995642198979
2.72724044171407 -3.14184975282353 -1.4367237068479 -2.46033748063696
2.78476356595871 -3.21238474131437 -1.45178868662979 -2.04186202187963
2.73340326828029 -3.1551661653347 -1.24089609538042 -1.50486354506039
2.69646814878327 -3.16082180266336 -1.44982022934334 -0.892320072853092
2.68317431219872 -3.11524959450545 -1.42162630156965 -1.18495528876188
2.75632190956703 -3.17806137877771 -1.20418678949871 -2.06483685327021
2.69608321287336 -3.09115460482399 -1.37327935584679 -0.986269910026679
2.71850258383012 -3.20787777628371 -1.26759758220241 -3.51530228982274
2.74217571959077 -3.13272701352378 -1.29583547589664 -1.25434589859295
2.68489071467831 -2.98721432323977 -1.39523858235106 -1.22186823034434
2.65591462791788 -3.05807179459592 -1.74216125022939 -0.360434743770463
2.65580730555258 -3.16253492066279 -1.29190193517334 -1.36915252416341
2.72597963031462 -3.23731201574861 -1.50824477557268 -0.679563946867234
2.73134745573566 -3.12510970462385 -1.19571477814149 -1.98857609353983
2.69840181613093 -3.15344649241761 -1.23514953922547 -1.32401177552141
2.67163787693059 -2.99095744182633 -1.47822736103048 -1.19698882741179
2.66181976917441 -3.03972278616189 -1.50838454695621 -0.779299000442138
2.77630112130104 -3.26596446098459 -1.36317150037016 -1.14813657532631
