"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_lambda1"
2.66096840659342 -3.10358281155233 -1.38528316923848 -1.34173296926098
2.71270059605264 -3.19840569049278 -1.30840878577827 -1.59578172095457
2.68835720391424 -3.13374913617591 -1.20582953045217 -2.33803271802001
2.68030379315321 -3.03700617592517 -1.46246430555922 -1.00024163670171
2.68641980422491 -2.96251910720731 -1.36372675553941 -0.814565962804313
2.67600558073892 -3.03876457080938 -1.51894595266236 -0.507561742285964
2.70401399010286 -3.13245031723073 -1.2876366888189 -1.56532183016682
2.67105776442052 -3.02532848883138 -1.21624137744646 -1.83983165634129
2.72097593978418 -3.12169501603619 -1.54458370262805 -0.926641631205557
2.706985427576 -3.07215230304523 -1.16535848087567 -1.58381446302358
2.73373759480393 -3.12241048703657 -1.10735025853239 -3.19391648329023
2.70108887475538 -3.12636054576481 -1.2240815811199 -1.28839473578334
2.72816991760764 -3.11194698997209 -1.25031071827374 -1.36385899023994
2.71548879512066 -3.20923293070162 -1.34579812406443 -1.12992775683132
2.6792533957956 -2.99956649099513 -1.16761306081131 -1.67021841739819
2.72373555719405 -3.14619405793911 -1.659740725314 -0.978304493746672
2.70085250628056 -3.21051298329278 -1.21925455423035 -1.30889652925237
2.73929216896609 -3.15976425181666 -1.21729689241905 -3.68750567054804
2.64290825843894 -3.08084396347925 -1.3637175213854 -1.2791148793237
2.67338527159979 -3.03774260045169 -1.09762602174968 -1.88981185568406
2.70667167355846 -3.2218033681108 -1.42877166095187 -0.791998569503319
2.68471928151509 -3.11163340684464 -1.43248305868747 -1.14368353188845
2.68207561637666 -3.04991552128228 -1.10573295343273 -2.09107535429624
2.67067959969398 -3.12417201097479 -1.22325880641713 -1.73521475369929
2.78018151164135 -3.20083078931576 -1.28156998995968 -1.40199441488283
2.67875332312245 -3.09374950115834 -1.2910295408573 -1.26723675521014
2.72727746886794 -3.11823931292708 -1.27744332723333 -1.50941147955638
2.7282032923576 -3.09357841851485 -1.32238002881953 -1.34476810600506
2.67484062971713 -3.09892937563767 -1.22663002165651 -1.97909809840259
2.68991400864155 -3.01666774594151 -1.42669315712403 -0.906405094091478
2.7115701218653 -3.13401631296039 -1.33720210687187 -0.998268776184188
2.71273085046689 -3.11529572748813 -1.12934611479709 -1.73166807040158
