"bias_MLE_beta1" "bias_MLE_beta2" "bias_MLE_gama1" "bias_MLE_lambda1"
0.00407365951643257 0.0547498359692087 0.0591620980567746 -Inf
0.000604832222361616 -0.00334303303076544 -0.0335373153774613 -Inf
-0.00722969595154869 -0.0167906298983396 -0.0781485468334917 -Inf
-0.0305940943446541 -0.0480066838650736 -0.016265256847686 -Inf
-0.00449003084322694 0.00720996484833769 0.0603166192717846 Inf
-0.0111937982065692 -0.0116101489467889 -0.00430354481317519 -Inf
0.00473212199903903 -0.0019219790058761 0.029149296416604 -Inf
0.000264513212523903 -0.0063919740240409 -0.0930152662964741 -Inf
0.0335568388162081 0.0483964518323958 0.0439201094580226 -Inf
0.00112774641223032 -0.00999240044105998 -0.103961774512155 -Inf
-0.00670691213291466 -0.0160590732456874 0.0568929370999496 Inf
-0.0200444669589442 -0.0349376772078562 0.091308400518852 Inf
0.0141284781094012 0.0137197775927083 -0.0251401991381479 -Inf
-0.0610599165576987 -0.0344002678224231 -0.0292016795557322 Inf
-0.019088407115556 -0.047245405222883 -0.0896736166982409 -Inf
-0.040849455956892 -0.0677442893373622 -0.0213113115027536 -Inf
-0.0357080131591245 -0.0263036016555237 0.0546735502858047 Inf
0.0157276235495787 0.00798220808492522 0.143496125431977 Inf
-0.0158426707816222 -0.0486623214230586 -0.0207295294299452 -Inf
0.0163324103497977 0.0218508931486228 -0.07256523012821 Inf
-0.022830741680416 -0.0256738799827395 -0.0254182788997369 -Inf
-0.0426961580994848 -0.0410914913646551 0.0412350336188014 Inf
-0.0119122664897922 -0.0631704316049874 0.0371756639857692 -Inf
0.0308248300501736 0.068198616270551 0.0744595892879651 Inf
0.047229255209183 0.0837139595168748 0.0862279895811433 Inf
0.0195662187384652 0.0305620458549056 -0.0387987093607347 -Inf
0.0219879614338748 -0.00272002101124313 -0.0679626897254512 -Inf
-0.00314911762151642 0.0058715314478559 -0.0203104086059063 -Inf
0.0149775001791653 0.0612316549562402 0.192676139811303 Inf
0.020744272287678 0.0589217419560575 0.0849311718276875 Inf
-0.0220746144528969 -0.0720482298173157 0.0912036420955176 Inf
0.0501463804529196 0.0169686841276346 -0.14878422132534 -Inf
0.0274030162887078 0.0628262465459315 0.0951006782343213 Inf
0.0275884105325961 0.015836679251976 -0.0181893794744072 -Inf
-0.00830257311836255 -0.00276711162049337 0.113947180984007 Inf
0.00858745622036077 -0.0245337964058321 -0.0467134150076712 Inf
0.0551334803869186 0.0758287840548613 0.0561110760620886 Inf
-0.00125208406725832 0.0230098700764285 0.0332950094056721 Inf
0.0196219904344336 0.00277694024671082 0.119080926689608 Inf
0.0436554611295069 0.0387315998515692 0.0767452582839894 Inf
0.0282601076424295 0.0534329388117492 0.0450052003207635 -Inf
0.00796682659272673 -0.0116580598279035 0.125184272283709 Inf
0.0511274747637638 0.0877578940396539 0.273398982155027 Inf
-0.0448391555675418 -0.0327748222812326 0.0280149872020909 Inf
0.047655745476615 0.0529824672315702 -0.078972311021285 -Inf
0.00133763793097646 0.0271142698693991 0.00659936301780717 -Inf
-0.00504551144749109 0.0119799924022141 -0.039326713495884 -Inf
0.0423709660921226 0.0176296269008624 0.0201019536676665 -Inf
0.0025517324141401 0.0114310490886584 -0.0963118037713945 -Inf
0.00925696964513525 0.0415657139374919 0.0731057094764991 Inf
-0.0361186734465132 -0.0297620429560056 0.0829229412812549 Inf
0.0322982261373907 0.0020107253236028 -0.0308784076174455 -Inf
-0.00956785822850414 0.00853389208157629 0.188438049385693 Inf
0.0190330950102694 -0.00595870725986036 -0.0571558220039416 -Inf
0.00841582100815789 0.0414695978352873 -0.00638218027827375 -Inf
