"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_gama2" "se_MLE_lambda1"
0.0568376577485679 0.158452958891982 0.0744022490131325 0.135476810233305 0.138691401585767
0.0559991941055771 0.150232774097496 0.073622397492294 0.127603358826528 0.136118072772725
0.052843282895942 0.137388609872715 0.0749032055930081 0.131882046767846 0.157755691355632
0.0576164100214327 0.152839695868723 0.0746347208168034 0.126718746941608 0.128740858651998
0.0571473400741242 0.145170610441674 0.073940231265615 0.130549607077435 0.152870153746629
0.0517851040242482 0.144630637074788 0.073106036618188 0.130756301726711 0.156013061515006
0.0563997500129227 0.145417418511406 0.0726839402280955 0.13179258514823 0.140375228692626
0.0537396804942889 0.154374909420472 0.0754274161468468 0.132476791601959 0.140144527917463
0.0580200420619415 0.155455816454123 0.0767353629431669 0.139066017921567 0.133548724634482
0.0575840991493526 0.152701489043339 0.0722350266827883 0.122944970871812 0.135245242244557
0.0532648290977114 0.150895570984734 0.0763438075553639 0.138236743506377 0.14936897142316
0.0475627437387469 0.140412507626024 0.0736187747103311 0.133649963465474 0.143583173069617
0.0542403123030281 0.159619464754332 0.0743709960688993 0.131242940487475 0.135360197045719
0.0515054755093926 0.138226709463346 0.0755664841721811 0.132941903581455 0.147544756501668
0.0503191740066891 0.148438222094899 0.0747272971388527 0.134794498023187 0.14159517452636
0.062270317167991 0.147626605398977 0.0746034074310727 0.132831466018895 0.145041483571123
0.0557546581524143 0.149213973999399 0.0730020165484473 0.130431426252381 0.134950402793842
0.0506372055717891 0.151623719122821 0.0769164014454704 0.143984642559626 0.149358713555469
0.0563567386013563 0.15285867831037 0.0774920530963465 0.14073296598599 0.147814162399919
0.053339671500317 0.147305712555192 0.0749193955576535 0.133445372827642 0.147788118579609
0.0487327124851167 0.142865584098704 0.0750960800590914 0.129862206367256 0.147248880057955
0.0567719282155156 0.147785614063668 0.0747746302450683 0.138074587121828 0.146156241793864
0.0534568542908487 0.164770068978551 0.0768107222627053 0.140204999622725 0.136341488104652
0.0587989129987987 0.167137111700009 0.0772482971046658 0.138556536611119 0.143816384213931
