"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_gama2" "se_MLE_lambda1"
0.152243710710134 0.489308483641621 0.243160271354859 0.439315057785882 0.418105736788034
0.153296727206188 0.424444434941574 0.233072874329456 0.42482993469436 0.454601281802101
0.152878487869722 0.427531438748221 0.195502225622906 0.321303542800615 0.370176331012204
0.149860160894481 0.42080024966106 0.213654237367288 0.392451562689052 0.439226729411568
0.14066323485289 0.391256782725973 0.205784869781397 0.378113265938366 0.477265827037865
0.149806762267364 0.435712177812392 0.214188938473523 0.383367524886054 0.418245378506346
0.17335487857347 0.530881376148662 0.220472427927363 0.387942755887074 0.372275207032119
0.13001716299065 0.33766591858828 0.23643240306296 0.436422001729001 0.591646180992591
0.166657200569097 0.462197465763471 0.230959167886252 0.43094949989264 0.427032282441918
0.0930960976215742 0.379356911458603 0.217616195021182 0.396082527981593 0.485828885405764
0.12751418592424 0.452550931502725 0.216362958538235 0.386053296038731 0.384758096615112
0.140159297445225 0.427799854208178 0.237027797470979 0.446919653264553 0.418315394896326
0.141833098859194 0.365529467560725 0.234820778912226 0.434287679808167 0.599642661257332
0.135566025670726 0.455576767932849 0.22939820537089 0.451137049372218 0.460785062878567
0.142470290121512 0.477987959778231 0.254760358922276 0.491746974204553 0.441557480599289
0.15512908772128 0.456548349408038 0.275160173344691 0.512065894135828 0.481901867157963
0.176791269014263 0.435158022101152 0.200539889548128 0.350895938369692 0.418420192927777
0.152343292158126 0.459363997686995 0.226431752617059 0.383664232595273 0.437433794675332
0.18369027753538 0.497512238998745 0.262054016750184 0.491372688040157 0.405564780689453
0.167955744161813 0.377643572634434 0.251321437295121 0.456540955797495 0.469561121401282
0.120069020463837 0.391288068503594 0.199129365357002 0.35378028029558 0.401236505601716
0.156908946740552 0.470928917728887 0.221531110024562 0.402077275328745 0.35536250859462
0.193991289370554 0.32797938894917 0.232363360401248 0.414607901679348 0.507518145662969
0.133213710959607 0.427358491473189 0.227591979414774 0.408467788467505 0.455232262355354
0.124548774478561 0.42250997112036 0.214489681847415 0.417207178116759 0.522193719198123
