"bias_MLE_beta1" "bias_MLE_beta2" "bias_MLE_beta3" "bias_MLE_gama1" "bias_MLE_gama2" "bias_MLE_gama3" "bias_MLE_lambda1" "bias_MLE_lambda2"
0.083396437821863 0.147768856874329 -0.118861029097279 -0.0351346861862871 -0.0700169107729024 0.00221219448751331 0.260161834038685 0.660364096863695
0.073369982086727 -0.02680623662976 -0.0171418004300377 -0.0206152088853334 -0.318223260767261 0.463302663582285 0.25330085784945 0.0315699868085496
0.0211053040409513 0.0523810710761709 -0.0317359455374896 -0.0474003242170723 0.0831175422391233 -0.369914668725868 -0.0722245413636123 0.102940757638354
-0.0234222464701651 0.0294042226069575 0.0592579614182033 -0.091371400972826 -0.136337602756039 -0.230011959303955 0.102341602678371 0.532089607511704
-0.00826440634685238 -0.0313577108379378 -0.00336750492588887 -0.00139917863519634 -0.245456511463711 0.473430397393126 0.640161807969994 0.614873031866122
0.19883972661579 0.0901948324521416 -0.19371068660345 0.00790307799680608 -0.117513122147913 0.276590978780046 0.129927376565133 0.276008660191273
-0.0105364159356285 -0.0401969164799183 0.107042347416451 -0.121384278594592 -0.0950195597298815 -0.165905734973469 0.832542895233376 0.823661105245478
0.167684180992342 0.0498836190188587 -0.278220248392028 -0.0795052575301597 -0.131429395402954 0.0218742768769107 0.525572602770994 0.55223898253305
-0.0995940495228639 -0.0315279601552074 0.153239531823712 -0.0303607114855085 0.044609909591912 -0.118325065048442 -0.235949418306641 -0.49227501379356
-0.0371031049780892 -0.0287450417356526 0.030895453806599 0.0692024440673222 0.171978108344196 -0.0807866870040329 -0.322763015035578 -0.315089720366907
0.00866959337353953 0.0562746325055045 0.0460768836198263 0.0139365717559969 -0.0808740111346916 0.310898487968496 0.636256543277019 0.930648804894215
0.0323911224116199 -0.0280601439756217 0.0543855025101495 0.096972849731606 -0.0180144802593302 0.272116109417264 0.307765187229906 0.571514033553586
-0.118883223169104 -0.0867825127245125 0.139138271360626 -0.0409703416651776 -0.0851091626835091 -0.0907887301300255 0.022483297746355 -0.184753150385995
0.0356101741667675 0.048238181776249 -0.0846487884181682 -0.135912250132592 0.0119014584192507 -0.439612431471924 -0.0066133972319408 0.248634682525689
0.0275027302073096 0.0356039308401912 -0.0467680432137928 0.0387674752016376 0.0312807447555568 0.0663529865900867 0.13987398842925 0.242519307621804
-0.120322962560163 -0.0338840585791626 0.175526330306603 0.0705304969708233 -0.102177598280938 0.318217740810415 0.133827887823178 0.011172680318582
0.012303391136485 0.0247982896618716 0.0215942999597456 -0.0297467240584626 -0.0532035578142409 0.178475962200697 0.584610718669311 0.766981977714139
-0.117146150017357 -0.0286806136138031 0.132518128767795 -0.0178567048083011 -0.0790222024340823 -0.0158533284619147 0.0334668883376825 0.16107514256305
0.0575406638957476 0.077974821809275 -0.0784120019245273 0.0942927025128313 0.224376896578878 -0.0622046584381808 -0.206610704990293 -0.0942973794639441
0.0454574982214863 0.069198468810931 -0.0653740833966583 -0.0935481376980198 -0.0224573329684156 -0.339585386943509 -0.0339317838391978 0.175990936811765
0.0133598087248623 0.00859345414396225 -0.0412347400568526 -0.191583881221917 -0.24511572677008 -0.00338203824465055 0.174603527671924 0.233384122894582
-0.0191389945193355 -0.0784764814319517 -0.0470536951039465 -0.137280058264831 -0.10642722291067 -0.203463091012964 -0.0309610499365657 -0.198181484919192
-0.0122662702099045 -0.032034742924094 0.0548770334069674 0.0517813427822707 -0.188872985734375 0.394232499368197 0.278866464797134 0.180360744813724
-0.0543808642428699 -0.00416664713458521 0.0542899295493541 0.0281470631996169 0.228972337405364 -0.449448194444024 -0.656767128316848 -0.723722979230374
-0.091488219086031 -0.0609238214942508 0.097989762269336 0.108802494029182 -0.0576488787882077 0.205851137931942 -0.131027623059212 -0.238622873390149
-0.121909029809075 -0.050511488743046 0.170327716692945 0.16576910900161 0.0486069050750058 0.397756270709222 0.162206783092197 0.175786487376114
0.007477715932204 -0.006930421742028 0.0284561432393097 0.0218484446097108 0.104782243061517 -0.00683899242837704 0.0891173723906654 0.322240649269462
-0.0337949931254864 -0.0609402158175272 0.0835656562301653 -0.102168790544733 -0.0654345701357969 -0.195452069933559 -0.102303532195135 -0.304233657161706
-0.0596878374419689 -0.0322253695652832 0.0533685369060115 0.112633388229299 0.347187354985733 -0.355768404758347 -0.712877002498772 -0.669034065475447
-0.0745452065778726 0.00849915438659455 0.198390006889751 -0.0385345126142322 0.176176108811773 -0.39914591897884 -0.302646059138939 -0.251480106026269
-0.0220652514450803 -0.0280754670541901 0.0500731662204561 -0.0354903680633297 -0.235285752138973 -0.102634861002798 -0.352891949726576 -0.618298570832897
0.00391936818917743 0.00274404354911884 0.0601835053014777 0.029171054724668 -0.0126119805982823 0.103223140971342 0.243972287948368 0.431785252126358
